invocation_id,trace_id,session_id,req_duration,req_service,req_api,req_params,exec_duration,exec_logs,res_status_code,res_status_desc,res_exception,res_body,res_duration,is_error
0,3170d90ea4be3f22,0,326000,ts-ticketinfo-service,http:/basic/queryforstationid,0,-1536480635981000,0,200,0,0,0,-1536480636307000,0
0,3170d90ea4be3f22,0,0,NULL,http:/ticketinfo/queryforstationid,0,1536480635976000,0,200,0,0,0,1536480636311000,0
0,3170d90ea4be3f22,0,345000,ts-travel-service,http:/ticketinfo/queryforstationid,0,-1536480635969000,0,200,0,0,0,-1536480636314000,0
0,3170d90ea4be3f22,0,501000,ts-travel-service,http:/ticketinfo/queryforstationid,0,-1536480636316000,0,200,0,0,0,-1536480636817000,0
0,3170d90ea4be3f22,0,0,NULL,http:/station/queryforid,0,1536485635087000,0,200,0,0,0,1536485635176000,0
0,3170d90ea4be3f22,0,305000,ts-ticketinfo-service,http:/basic/queryforstationid,0,-1536480636506000,0,200,0,0,0,-1536480636811000,0
0,3170d90ea4be3f22,0,0,NULL,http:/ticketinfo/queryforstationid,0,1536480636408000,0,200,0,0,0,1536480636814000,0
0,3170d90ea4be3f22,0,6785000,ts-travel-service,http:/route/querybyid/92708982-77af-4318-be25-57cc,0,-1536480636825000,0,200,0,0,0,-1536480643610000,0
0,3170d90ea4be3f22,0,897000,ts-travel-service,http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2,0,-1536480643612000,0,200,0,0,0,-1536480644509000,0
0,3170d90ea4be3f22,0,399000,ts-travel-service,http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b,0,-1536480644511000,0,200,0,0,0,-1536480644910000,0
0,3170d90ea4be3f22,0,300000,ts-travel-service,http:/route/querybyid/084837bb-53c8-4438-87c8-0321,0,-1536480644912000,0,200,0,0,0,-1536480645212000,0
0,3170d90ea4be3f22,0,497000,ts-travel-service,http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0,0,-1536480645214000,0,200,0,0,0,-1536480645711000,0
0,3170d90ea4be3f22,0,0,NULL,http:/route/querybyid/92708982-77af-4318-be25-57cc,0,1536480639110000,0,200,0,0,0,1536480643509000,0
0,3170d90ea4be3f22,0,0,NULL,http:/route/querybyid/aefcef3f-3f42-46e8-afd7-6cb2,0,1536480644008000,0,200,0,0,0,1536480644506000,0
0,3170d90ea4be3f22,0,0,NULL,http:/route/querybyid/a3f256c1-0e43-4f7d-9c21-121b,0,1536480644706000,0,200,0,0,0,1536480644907000,0
0,3170d90ea4be3f22,0,0,NULL,http:/route/querybyid/084837bb-53c8-4438-87c8-0321,0,1536480645008000,0,200,0,0,0,1536480645207000,0
0,3170d90ea4be3f22,0,0,NULL,http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0,0,1536480645307000,0,200,0,0,0,1536480645706000,0
0,3170d90ea4be3f22,0,0,NULL,http:/station/exist,0,1536485645890000,0,200,0,0,0,1536485646173000,0
0,3170d90ea4be3f22,0,0,NULL,http:/station/exist,0,1536485646573000,0,200,0,0,0,1536485646773000,0
0,3170d90ea4be3f22,0,0,NULL,http:/route/querybyid/f3d4d4ef-693b-4456-8eed-59c0,0,1536480655006000,0,200,0,0,0,1536480655307000,0
0,3170d90ea4be3f22,0,0,NULL,http:/train/retrieve,0,1536485648773000,0,200,0,0,0,1536485653174000,0
0,3170d90ea4be3f22,0,0,NULL,http:/station/queryforid,0,1536485657446000,0,200,0,0,0,1536485657452000,0
0,3170d90ea4be3f22,0,0,NULL,http:/station/queryforid,0,1536485657489000,0,200,0,0,0,1536485657673000,0
0,3170d90ea4be3f22,0,12305000,ts-ticketinfo-service,http:/basic/queryfortravel,0,-1536480647009000,0,200,0,0,0,-1536480659314000,0
0,3170d90ea4be3f22,0,0,NULL,http:/ticketinfo/queryfortravel,0,1536480645818000,0,200,0,0,0,1536480659324000,0
